Season,Week,GameSlot,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,1,Houston Texans,0,1,0,Kickoff from CIN 35,,Kickoff,— J.Brown kicks 70 yards from CIN 35 to HOU -5. D.Manning to HOU 16 for 21 yards (R.Whalen).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,1,Houston Texans,0,2,0,1 Yard Run,1st & 10 at HOU 16,14:54 1st,— M.Schaub scrambles right end to HOU 17 for 1 yard (R.Geathers).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,1,Houston Texans,0,3,0,-4 Yard Pass,2nd & 9 at HOU 17,14:24 1st,— M.Schaub pass short left to A.Foster to HOU 13 for -4 yards (R.Nelson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,1,Houston Texans,0,4,0,8 Yard Pass,3rd & 13 at HOU 13,13:37 1st Shotgun,— M.Schaub pass short right to O.Daniels pushed ob at HOU 21 for 8 yards (N.Clements).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,1,Houston Texans,0,5,0,Punt,4th & 5 at HOU 21,13:21 1st,"— D.Jones punts 41 yards to CIN 38, Center-J.Weeks. A.Jones to CIN 38 for no gain (A.Ball). (The punt hang time was 3.25 seconds.)"
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,1,0,2 Yard Run,1st & 10 at CIN 38,13:10 1st Shotgun,— B.Green-Ellis up the middle to CIN 40 for 2 yards (J.Watt).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,2,0,Pass Incomplete,2nd & 8 at CIN 40,12:31 1st Shotgun,— A.Dalton pass incomplete short middle to J.Gresham.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,3,0,Pass Incomplete,3rd & 8 at CIN 40,12:27 1st Shotgun,— A.Dalton pass incomplete short right to J.Gresham (G.Quin).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,2,Cincinnati Bengals,0,4,0,Punt,4th & 8 at CIN 40,12:22 1st,"— K.Huber punts 53 yards to HOU 7, Center-C.Harris. K.Martin to HOU 10 for 3 yards (C.Peerman). PENALTY on HOU-D.Manning, Illegal Block Above the Waist, 5 yards, enforced at HOU 10. (The punt hang time was 4.7 seconds.)"
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,1,0,2 Yard Run,1st & 10 at HOU 5,12:08 1st,— A.Foster right tackle to HOU 7 for 2 yards (M.Lawson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,2,0,18 Yard Pass,2nd & 8 at HOU 7,11:31 1st,— M.Schaub pass short middle to O.Daniels to HOU 25 for 18 yards (R.Nelson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,3,0,17 Yard Run,1st & 10 at HOU 25,10:59 1st,— A.Foster left end to HOU 42 for 17 yards (R.Nelson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,4,0,4 Yard Run,1st & 10 at HOU 42,10:18 1st,— A.Foster left guard to HOU 46 for 4 yards (D.Peko).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,5,0,16 Yard Run,2nd & 6 at HOU 46,09:39 1st,— K.Martin left end pushed ob at CIN 38 for 16 yards (T.Newman).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,6,0,8 Yard Pass,1st & 10 at CIN 38,09:11 1st,— M.Schaub pass short right to A.Foster ran ob at CIN 30 for 8 yards.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,7,0,0 Yard Run,2nd & 2 at CIN 30,08:37 1st,"— B.Tate left guard to CIN 30 for no gain (C.Dunlap, R.Maualuga)."
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,8,0,Pass Incomplete,3rd & 2 at CIN 30,07:59 1st,— M.Schaub pass incomplete short left to O.Daniels.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,3,Houston Texans,1,9,1,Field Goal,4th & 2 at CIN 30,07:54 1st,"— S.Graham 48 yard field goal is GOOD, Center-J.Weeks, Holder-D.Jones."
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,0,1,0,Kickoff from HOU 35,,Kickoff,— S.Graham kicks 70 yards from HOU 35 to CIN -5. A.Jones to CIN 16 for 21 yards (D.Posey).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,0,2,0,29 Yard Run,1st & 10 at CIN 16,07:44 1st,— B.Green-Ellis right guard to CIN 45 for 29 yards (G.Quin).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,0,3,0,3 Yard Run,1st & 10 at CIN 45,07:06 1st,— A.Dalton scrambles right end pushed ob at CIN 48 for 3 yards (B.Reed).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,0,4,0,-6 Yard Pass,2nd & 7 at CIN 48,06:35 1st Shotgun,— A.Dalton pass short left to B.Green-Ellis to CIN 42 for -6 yards (C.Barwin).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,0,5,0,-9 Yard Sack,3rd & 13 at CIN 42,05:51 1st Shotgun,— A.Dalton sacked at CIN 33 for -9 yards (J.Watt).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,1st Quarter,4,Cincinnati Bengals,0,6,0,Punt,4th & 22 at CIN 33,05:23 1st,"— K.Huber punts 47 yards to HOU 20, Center-C.Harris. K.Martin to HOU 31 for 11 yards (C.Harris). (the punt hang time was 4.3 seconds.)"
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,1,0,6 Yard Pass,1st & 10 at HOU 31,05:12 1st,— M.Schaub pass short left to O.Daniels to HOU 37 for 6 yards (L.Hall).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,2,0,1 Yard Run,2nd & 4 at HOU 37,04:36 1st,— A.Foster left guard to HOU 38 for 1 yard (R.Maualuga).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,3,0,3 Yard Pass,3rd & 3 at HOU 38,03:59 1st Shotgun,— M.Schaub pass short middle to K.Walter to HOU 41 for 3 yards (L.Hall).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,4,0,19 Yard Pass,1st & 10 at HOU 41,03:14 1st,— M.Schaub pass deep middle to A.Johnson to CIN 40 for 19 yards (R.Nelson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,5,0,2 Yard Run,1st & 10 at CIN 40,02:31 1st,— A.Foster left tackle to CIN 38 for 2 yards (G.Atkins).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,6,0,11 Yard Penalty,2nd & 8 at CIN 38,01:56 1st,"— M.Schaub pass incomplete short middle to O.Daniels [G.Atkins]. PENALTY on CIN-V.Burfict, Defensive Pass Interference, 11 yards, enforced at CIN 38 - No Play."
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,7,0,5 Yard Run,1st & 10 at CIN 27,01:51 1st,— A.Foster left guard to CIN 22 for 5 yards (R.Geathers; R.Maualuga).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,8,0,4 Yard Run,2nd & 5 at CIN 22,01:16 1st,— A.Foster right guard to CIN 18 for 4 yards (V.Burfict).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,9,0,2 Yard Run,3rd & 1 at CIN 18,00:51 1st,— M.Schaub up the middle to CIN 16 for 2 yards (P.Sims).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,10,0,0 Yard Run,1st & 10 at CIN 16,15:00 2nd,— A.Foster left end to CIN 16 for no gain (E.Lamur).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,11,0,2 Yard Pass,2nd & 10 at CIN 16,14:22 2nd,— M.Schaub pass short left to G.Graham pushed ob at CIN 14 for 2 yards (L.Hall).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,12,0,5 Yard Pass,3rd & 8 at CIN 14,13:55 2nd Shotgun,— M.Schaub pass short middle to K.Walter to CIN 9 for 5 yards (R.Maualuga; V.Burfict).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,1,Houston Texans,1,13,1,Field Goal,4th & 3 at CIN 9,13:11 2nd,"— S.Graham 27 yard field goal is GOOD, Center-J.Weeks, Holder-D.Jones."
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,2,Cincinnati Bengals,0,1,0,Kickoff from HOU 35,,Kickoff,— S.Graham kicks 71 yards from HOU 35 to CIN -6. A.Jones to CIN 28 for 34 yards (B.Harris).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,2,Cincinnati Bengals,0,2,0,12 Yard Run,1st & 10 at CIN 28,13:01 2nd,— B.Green-Ellis up the middle to CIN 40 for 12 yards (S.Keo).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,2,Cincinnati Bengals,0,3,0,1 Yard Pass,1st & 10 at CIN 40,12:39 2nd,— A.Dalton pass short right to J.Gresham to CIN 41 for 1 yard (D.Manning).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,2,Cincinnati Bengals,0,4,0,-3 Yard Pass,2nd & 9 at CIN 41,11:56 2nd Shotgun,— A.Dalton pass short right to B.Green-Ellis to CIN 38 for -3 yards (B.James) [J.Watt].
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,2,Cincinnati Bengals,0,5,0,Pass Incomplete,3rd & 12 at CIN 38,11:10 2nd Shotgun,— A.Dalton pass incomplete deep middle to M.Jones (K.Jackson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,2,Cincinnati Bengals,0,6,0,Punt,4th & 12 at CIN 38,11:00 2nd,"— K.Huber punts 50 yards to HOU 12, Center-C.Harris, fair catch by K.Martin. (The punt hang time was 4.4 seconds.)"
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,3,Cincinnati Bengals,1,1,0,3 Yard Run,1st & 10 at HOU 12,10:52 2nd,— A.Foster right tackle to HOU 15 for 3 yards (C.Dunlap).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,3,Cincinnati Bengals,1,2,0,4 Yard Pass,2nd & 7 at HOU 15,10:17 2nd,— M.Schaub pass short right to A.Foster to HOU 19 for 4 yards (T.Newman).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,3,Cincinnati Bengals,1,3,1,Touchdown,3rd & 3 at HOU 19,09:38 2nd,"— M.Schaub pass short left intended for J.Casey INTERCEPTED by L.Hall at HOU 21. L.Hall for 21 yards, TOUCHDOWN."
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,1,0,Kickoff from CIN 35,,Kickoff,— J.Brown kicks 71 yards from CIN 35 to HOU -6. D.Manning to HOU 20 for 26 yards (R.Whalen).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,2,0,-4 Yard Pass,1st & 10 at HOU 20,09:24 2nd,— M.Schaub pass short right to A.Foster pushed ob at HOU 16 for -4 yards (R.Nelson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,3,0,13 Yard Run,2nd & 14 at HOU 16,08:52 2nd,— A.Foster up the middle to HOU 29 for 13 yards (N.Clements).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,4,0,11 Yard Run,3rd & 1 at HOU 29,08:16 2nd,— A.Foster left tackle to HOU 40 for 11 yards (R.Nelson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,5,0,1 Yard Run,1st & 10 at HOU 40,07:42 2nd,— B.Tate left end to HOU 41 for 1 yard (P.Sims).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,6,0,20 Yard Pass,2nd & 9 at HOU 41,06:58 2nd,"— M.Schaub pass short left to G.Graham pushed ob at CIN 39 for 20 yards (N.Clements). CIN-R.Maualuga was injured during the play. His return is Probable. Penalty on CIN-G.Atkins, Defensive Offside, declined."
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,7,0,15 Yard Run,1st & 10 at CIN 39,06:35 2nd,— A.Foster right guard to CIN 24 for 15 yards (N.Clements).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,8,0,2 Yard Run,1st & 10 at CIN 24,05:56 2nd,— A.Foster left tackle to CIN 22 for 2 yards (D.Skuta).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,9,0,7 Yard Pass,2nd & 8 at CIN 22,05:15 2nd,— M.Schaub pass short middle to O.Daniels to CIN 15 for 7 yards (V.Burfict).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,10,0,4 Yard Run,3rd & 1 at CIN 15,04:37 2nd,— A.Foster left guard to CIN 11 for 4 yards (N.Clements).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,11,0,1 Yard Run,1st & 10 at CIN 11,03:57 2nd,— A.Foster left guard to CIN 10 for 1 yard (G.Atkins; R.Geathers).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,12,0,6 Yard Pass,2nd & 9 at CIN 10,03:15 2nd,— M.Schaub pass short middle to O.Daniels to CIN 4 for 6 yards (R.Nelson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,13,0,Timeout,,02:27 2nd,— Timeout #1 by HOU at 02:27.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,14,0,Pass Incomplete,3rd & 3 at CIN 4,02:27 2nd Shotgun,— M.Schaub pass incomplete short left to A.Johnson.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,4,Houston Texans,1,15,1,Field Goal,4th & 3 at CIN 4,02:23 2nd,"— S.Graham 22 yard field goal is GOOD, Center-J.Weeks, Holder-D.Jones."
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,1,0,Kickoff from HOU 35,,Kickoff,— S.Graham kicks 65 yards from HOU 35 to CIN 0. A.Jones to CIN 28 for 28 yards (S.Graham).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,2,0,12 Yard Run,1st & 10 at CIN 28,02:13 2nd Shotgun,— A.Dalton scrambles up the middle to CIN 40 for 12 yards (B.James).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,3,0,Pass Incomplete,1st & 10 at CIN 40,02:00 2nd Shotgun,— A.Dalton pass incomplete short middle to J.Gresham (G.Quin).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,4,0,11 Yard Pass,2nd & 10 at CIN 40,01:57 2nd Shotgun,— A.Dalton pass short left to M.Jones pushed ob at HOU 49 for 11 yards (K.Jackson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,5,0,2 Yard Run,1st & 10 at HOU 49,01:51 2nd,— B.Leonard up the middle to HOU 47 for 2 yards (J.Watt).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,6,0,Pass Incomplete,2nd & 8 at HOU 47,01:27 2nd Shotgun,— A.Dalton pass incomplete short left to M.Jones (K.Jackson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,7,0,Pass Incomplete,3rd & 8 at HOU 47,01:22 2nd Shotgun,— A.Dalton pass incomplete deep middle to J.Gresham.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,5,Cincinnati Bengals,0,8,0,Punt,4th & 8 at HOU 47,01:17 2nd,"— K.Huber punts 36 yards to HOU 11, Center-C.Harris, fair catch by K.Martin. (The punt hang time was 4.1 seconds.)"
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,1,0,2 Yard Run,1st & 10 at HOU 11,01:10 2nd,— A.Foster up the middle to HOU 13 for 2 yards (D.Peko; M.Johnson).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,2,0,Timeout,,01:06 2nd,— Timeout #1 by CIN at 01:06.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,3,0,9 Yard Pass,2nd & 8 at HOU 13,01:06 2nd,— M.Schaub pass short right to O.Daniels pushed ob at HOU 22 for 9 yards (T.Newman).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,4,0,11 Yard Pass,1st & 10 at HOU 22,00:59 2nd Shotgun,— M.Schaub pass short right to A.Johnson to HOU 33 for 11 yards (T.Newman).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,5,0,Timeout,,00:54 2nd,— Timeout #2 by HOU at 00:54.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,6,0,Pass Incomplete,1st & 10 at HOU 33,00:54 2nd Shotgun,— M.Schaub pass incomplete short right to A.Johnson.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,7,0,1 Yard Pass,2nd & 10 at HOU 33,00:48 2nd Shotgun,— M.Schaub pass short right to A.Foster to HOU 34 for 1 yard (V.Burfict).
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,8,0,Timeout,,00:40 2nd,— Timeout #3 by HOU at 00:40.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,9,0,19 Yard Pass,3rd & 9 at HOU 34,00:40 2nd Shotgun,— M.Schaub pass deep right to O.Daniels to CIN 47 for 19 yards (T.Newman) [C.Dunlap].
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,10,0,Pass Incomplete,1st & 10 at CIN 47,00:25 2nd,— M.Schaub spiked the ball to stop the clock.
2012,WILD CARD WEEKEND,Saturday,January 5th,CIN,HOU,2nd Quarter,6,Houston Texans,0,11,0,6 Yard Pass,2nd & 10 at CIN 47,00:24 2nd Shotgun,— M.Schaub pass short right to K.Walter to CIN 41 for 6 yards (T.Newman) [R.Nelson].
